iTOW,Year,Month,Day,Hour,Minute,Second,Valid Date,Valid Time,Fully Resolved,Valid Mag,tAcc,nano,Fix Type,Longitude,Latitude,Height,hMSL,hAcc,vAcc,velN,valE,valD,gSpeed,headMot,
589530000,2021,4,3,19,45,12,1,1,1,0,60,-361607,3D-Fix,-78.0597533,38.3960028,125.209,159.674,26.328,39.622,5.319,2.19,0.07200000000000001,5.752,21.497880000000002,
589531000,2021,4,3,19,45,13,1,1,1,0,58,-361617,3D-Fix,-78.0597282,38.3960562,129.0,163.464,24.457,37.777,4.545,2.755,0.07200000000000001,5.314,27.7584,
589532000,2021,4,3,19,45,14,1,1,1,0,56,-361630,3D-Fix,-78.0597058,38.3961001,130.462,164.927,22.828,35.809,4.841,2.051,0.076,5.258,24.76647,
589533000,2021,4,3,19,45,15,1,1,1,0,54,-361645,3D-Fix,-78.0596714,38.3961384,132.173,166.638,21.326,33.994,4.789,2.57,0.076,5.4350000000000005,27.024440000000002,
589535000,2021,4,3,19,45,17,1,1,1,0,51,-361673,3D-Fix,-78.05962029999999,38.396228,135.92600000000002,170.391,18.704,30.771,4.239,2.52,0.084,4.932,29.343320000000002,
589536000,2021,4,3,19,45,18,1,1,1,0,50,-361687,3D-Fix,-78.0595962,38.396293799999995,138.822,173.287,17.438,29.533,4.506,2.649,0.085,5.227,30.09287,
589537000,2021,4,3,19,45,19,1,1,1,0,49,-361702,3D-Fix,-78.05957649999999,38.3963555,141.224,175.68800000000002,16.486,28.551000000000002,4.821,2.571,0.092,5.464,28.694670000000002,
589538000,2021,4,3,19,45,20,1,1,1,0,47,-361719,3D-Fix,-78.05954539999999,38.3964036,141.98,176.44400000000002,15.346,27.156,5.347,2.501,0.096,5.9030000000000005,25.86933,
589539000,2021,4,3,19,45,21,1,1,1,0,46,-361737,3D-Fix,-78.0595202,38.396451,145.455,179.92000000000002,14.398,25.657,5.119,2.2720000000000002,0.077,5.601,24.482660000000003,
589540000,2021,4,3,19,45,22,1,1,1,0,44,-361755,3D-Fix,-78.0594924,38.396490199999995,148.574,183.03900000000002,13.345,23.924,4.464,2.437,0.06,5.086,27.0818,
589541000,2021,4,3,19,45,23,1,1,1,0,43,-361772,3D-Fix,-78.05946279999999,38.3965233,152.633,187.098,12.547,22.825,3.294,3.003,0.038,4.457,35.53831,
589542000,2021,4,3,19,45,24,1,1,1,0,43,-361789,3D-Fix,-78.0594315,38.3965714,157.129,191.594,12.055,22.239,3.263,3.595,0.013000000000000001,4.855,43.66892000000001,
589543000,2021,4,3,19,45,25,1,1,1,0,42,-361806,3D-Fix,-78.0594022,38.3966078,158.684,193.148,11.506,21.611,3.035,3.257,0.009000000000000001,4.452,45.43905,
589544000,2021,4,3,19,45,26,1,1,1,0,42,-361820,3D-Fix,-78.05939,38.3966537,160.556,195.02,11.252,21.644000000000002,3.509,2.495,0.015,4.305,38.651300000000006,
589545000,2021,4,3,19,45,27,1,1,1,0,42,-361832,3D-Fix,-78.059386,38.3967112,159.483,193.948,10.868,21.403,5.147,1.429,0.112,5.341,17.7511,
589546000,2021,4,3,19,45,28,1,1,1,0,42,-361841,3D-Fix,-78.0593837,38.396757699999995,156.40200000000002,190.866,10.620000000000001,21.52,4.312,1.154,0.28600000000000003,4.464,15.708440000000001,
589547000,2021,4,3,19,45,29,1,1,1,0,41,-361859,3D-Fix,-78.0593749,38.396810699999996,156.848,191.31300000000002,10.083,20.915,5.081,1.198,0.301,5.22,14.274300000000002,
589548000,2021,4,3,19,45,30,1,1,1,0,43,-361880,3D-Fix,-78.05936249999999,38.3968596,163.961,198.425,10.692,22.472,5.3340000000000005,1.2690000000000001,0.266,5.4830000000000005,13.714220000000001,
589549000,2021,4,3,19,45,31,1,1,1,0,43,-361898,3D-Fix,-78.0593562,38.3969186,168.261,202.726,10.641,22.796,5.03,1.548,0.26,5.263,16.239440000000002,
589550000,2021,4,3,19,45,32,1,1,1,0,45,-361920,3D-Fix,-78.05932949999999,38.3969959,179.423,213.887,11.268,24.414,6.146,1.976,0.17500000000000002,6.456,17.4782,
589551000,2021,4,3,19,45,33,1,1,1,0,46,-361940,3D-Fix,-78.0593063,38.3970799,190.258,224.722,11.577,25.429000000000002,7.1530000000000005,1.797,0.10400000000000001,7.375,14.533590000000002,
589552000,2021,4,3,19,45,34,1,1,1,0,47,-361958,3D-Fix,-78.05928209999999,38.3971679,199.05,233.51500000000001,11.631,25.835,7.99,1.683,0.078,8.165000000000001,11.898420000000002,
589553000,2021,4,3,19,45,35,1,1,1,0,47,-361976,3D-Fix,-78.0592704,38.3972522,207.596,242.061,11.447000000000001,25.476,7.930000000000001,0.8320000000000001,0.053,7.973,7.261000000000001,
589554000,2021,4,3,19,45,36,1,1,1,0,47,-361991,3D-Fix,-78.0592628,38.3973229,211.024,245.488,11.259,25.028000000000002,6.868,0.035,0.08700000000000001,6.868,2.8573000000000004,
